method_name,old_code,new_code,is_vulnerable
ConnectionManagerImpl::createClientListeners," 
t
h
i
s
 
d
i
s
t
r
i
b
u
t
i
o
n","r
e
.
o
p
e
n
f
i
r
e
.
s
p
i
;





",1
ConnectionManagerImpl::createClientSSLListeners,"p
i
;






i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
m
i
n
a
.
c
o
m
m
o
n
.
B
y
t
e
B
u
f
f
e
r
;



i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h","p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.
m
i
n
a
.
c
o
m
m
o
n
.
E
x
e
c
u
t
o
r
T
h
r
e
a
d
M
o
d
e
l
;



i
m
p
o
r
t
 
o
r
g
.
a
p
a
c
h
e
.",1
DefaultStaticContentLoader::findStaticResource,"w
i
t
h
 
t
h
i
s
 
w
o
r
k
 ","w
i
t
h
 
t
h
i
s
 
w
o
r
k
 
f
o
r
 
a
d
d
i
t
i
o
n",1
FilterDispatcher::findStaticResource,"

 
*
 
 
h
t
t
p
:
/
/
w
w
w
.
a
p
a
c
h
e
.
o
r
g
/
l
i
c
e
n
s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


 
*


 
*
 
U
n
l
e","*
 
 
h
t
t
p
:
/
/
w
w
w
.
a
p
a
c
h
e
.
o
r
g
/
l
i",1
FilterDispatcher::findStaticResource,"

 
*
 
 
h
t
t
p
:
/
/
w
w
w
.
a
p
a
c
h
e
.
o
r
g
/
l
i
c
e
n
s
e
s
/
L
I
C
E
N
S
E
-
2
.
0


 
*


 
*
 
U
n
l
e","*
 
 
h
t
t
p
:
/
/
w
w
w
.
a
p
a
c
h
e
.
o
r
g
/
l
i",1
SendMessage::appendHeaders,"i
t
i
o
n
a
l
 
i
n
f
o
r
m
a
t
i
o
n
 
r
e
g
a
r
d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e
 
A
S
F","i
t
i
o
n
a
l
 
i
n
f
o
r
m
a
t
i
o
n
 
r
e
g
a
r
d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.


 
*
 
T
h
e
 
A
S
F
 
l
i",1
BindingBeanNameUrlHandlerMapping::getHandlerInternal,"f
t
w
a
r
e
 
F
o
u
n
d
a
t
i
o
n
 
(
A
S
F
)
 
u
n
d
e","r
e
 
F
o
u
n
d
a
t
i
o
n
 
(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r
e


 
*
 
c",1
SessionFilter::doFilter,"o
u
n
d","u
n
d
a
t",1
BrokerFacadeSupport::getQueueConsumers,"a
l
 
i
n
f
o","a
l
 
i
n
f
o
r",1
BindingBeanNameUrlHandlerMapping::getHandlerInternal,"f
t
w
a
r
e
 
F
o
u
n
d
a
t
i
o
n
 
(
A
S
F
)
 
u
n
d
e","r
e
 
F
o
u
n
d
a
t
i
o
n
 
(
A
S
F
)
 
u
n
d
e
r
 
o
n
e
 
o
r
 
m
o
r
e


 
*
 
c",1
BrokerFacadeSupport::getQueueConsumers,"a
l
 
i
n
f
o","a
l
 
i
n
f
o
r",1
SessionFilter::doFilter,"o
u
n
d","u
n
d
a
t",1
XercesSAXParserFactoryImpl::newSAXParser,"p
o
r
t
 
o
r
g
.
x
m","t
i
o
n
;


i
m
p
o",1
_setOption," 
=
 
{


	
	
b
u
t
t
o
n
s
:
 
t
r
u
e
,


	
	
h
e
i
g
h
t
:
 
t
r
u
e
,


	
	
m
a
x
H
e
i
g
h
t
:
 
t
r
u
e
,


	
	
m
a
x
W
i
d
t","b
u
t
t
o
n
s
:
 
t
r
u
e
,


	
	
h
e
i
g
h
t
:
 
t
r
u
e
,


	
	
m
a
x
H
e
i
g
h
t
:
 
t
r
u
e
,


	
	
m
a
x
W
i
d
t
h
:
 
t
r",1
process_command_line,"s
 
a
s
 
d
a
e
m
o
n
 
p
r
o
c
e
s
s
e
s
 
o
n
 
U
n
i
x
/
L
i
n
u
x
.


#
	
T","a
s
 
d
a
e
m
o
n
 
p
r
o
c
e
s
s
e
s
 
o
n
 
U
n
i
x
/
L
i
n
u
x
.


#
	
T
h
i
s
 
w
o",1
content_type,"s
e
n
t
s
 
a
n","s
e
n
t
s
 
a
n
 ",1
ConversionErrorInterceptor::getOverrideExpr,"t
h
e","h
e
 ",1
RepopulateConversionErrorFieldValidatorSupport::repopulateField,"s
 
f
i
l
e
 
e
x
c
e
p
t
 
i
n
 
c
o
m
p
l
i
a
n
c
e
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
."," 
f
i
l
e
 
e
x
c
e
p
t
 
i
n
 
c
o
m
p
l
i
a
n
c
e
 
w
i
t
h
 
t
h
e
 
L
i
c
e
n
s
e
.

",1
RepopulateConversionErrorFieldValidatorSupport::validate,"u
s
e
 
t
h","s
e
 
t
h
i",1
RepopulateConversionErrorFieldValidatorSupport::setRepopulateField," 
n
o
t","n
o
t
 ",1
RepopulateConversionErrorFieldValidatorSupport::getRepopulateField," 
m
a","m
a
y",1
ActionConfig::Builder::Builder," 
a
 ","y
 
o
f",1
CookieInterceptor::intercept,"r
m
a
t
i
o
n


 
*
 
r
e
g
a
r
d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o","d
i
n
g
 
c
o
p
y
r
i
g
h
t
 
o
w
n
e
r
s
h
i
p
.
 
 
T
h
e
 
A
S
F
 
l",1
CookieInterceptor::populateCookieValueIntoStack," 
T
h
e
 
A
S
F
 
l
i
c
e
n
s
e
s
 
t
h
i
s
 
f
i
l
e

","i
s
 
f
i
l
e


 
*
 
t
o
 
y
o
